user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet
Soyakka Selvi,,,2018-08-30 13:20:01+00:00,10,13,81,False,2023-04-15 10:06:20+00:00,"Thread:
#IPL2023 Match 20 #Prediction

#RCBvDC

Winner: #Royalchallengers bangalore","['IPL2023', 'Prediction', 'RCBvDC', 'Royalchallengers']",Twitter for Android,False
Global_Creative,India,Mostly retweets ğŸ˜,2022-08-10 22:15:27+00:00,3,14,67,False,2023-04-15 08:52:56+00:00,"#Live #IPL2023 : #RCB vs #DC #Dream11 Team Today Match | #RoyalChallengers #Bangalore vs #DelhiCapitals
#KarnatakaElections2023 

https://t.co/s8vBxGsOKP","['Live', 'IPL2023', 'RCB', 'DC', 'Dream11', 'RoyalChallengers', 'Bangalore', 'DelhiCapitals']",Twitter Web App,False
News9,NOIDA,"India's first fully integrated digital news service 
On all Platforms- https://t.co/fJY8zUlK9C
News9 Live, News9 Plus
Download Now- https://t.co/JvGIxl75ug",2012-07-12 05:31:57+00:00,33942,27,211,True,2023-04-15 05:48:45+00:00,"#RoyalChallengers will face #DelhiCapitals in Match 20 of #IPL2023. #RCB lost to #LSG in a last-ball thriller in their previous match despite their top-order batters like #ViratKohli, #GlennMaxwell, and #FafDuPlessis scoring half-centuries each
https://t.co/ttgH8vse1b","['RoyalChallengers', 'DelhiCapitals', 'IPL2023', 'RCB', 'LSG']",Twitter Web App,False
FAMOUS11,"UGF/52, FIRST FLOOR, PARSVNATH",Famous11 is India's most trusted fantasy sports game app. Lowest entry fees guaranteed.We offer all,2022-11-09 11:26:29+00:00,512,13,15,False,2023-04-15 05:25:03+00:00,"Champions, apna ghar winnings se bharoge ya sufferings se?ğŸ¤”ğŸ’°

Banglore vs. DelhiğŸ

Moka hai, choka mar do!ğŸ’¥ğŸ’¥ğŸ’¥

Create your team on #Famous11ğŸ¤ğŸ—
.
.
.
.
#famous11 #RCBvsDC #ipl2023 #tataipl2023 #Royalchallengers #delhicapitals #weekend #sixers #fours #battle #indiakatyohaar https://t.co/dlOrc8U2Rs",,Twitter for Android,False
Alstone,"Delhi, India","Epitome of trust and belief since last two decades 

-Zinc Composite Panels
-Aluminum Honeycomb Panels
-Aluminium Louvers
-HPL
-Fire Rated Composite Panels",2021-12-13 05:39:39+00:00,40,2,181,False,2023-04-14 13:25:04+00:00,"Determined to push our boundaries, the Royal Challengers rules as one.ğŸâš¡ï¸

Get ready for a match unlike any other tomorrow - RCB VS DC at 3:30 pm

#alstone #thinkcladdingthinkalstone #IPL2023 #alstonecladdings #SuperBattingSuperCladding #royalchallengers #RCbvsDC https://t.co/CRN54j6J8Y",,Twitter Web App,False
Urvashi Rautela â¤ï¸,,"She who can control the heartâ™¥ï¸of others.
Welcome to the Urvashi Rautela's #Urvashistan ğŸ‡®ğŸ‡³ğŸ’œ
Admin:ğŸ™‹â€â™‚",2015-10-11 11:36:29+00:00,4140,11,17883,False,2023-04-11 16:49:56+00:00,"Urvashi Rautela ğŸ’š watching #IPL ğŸ‡®ğŸ‡³ ğŸ 2023 ğŸ’š Delhi Capitals  Vs Mumbai Indians â™¥ï¸ğŸ’™ 
â˜† 

â˜†
@UrvashiRautela
â˜†

   #UrvashiRautela #IPL2023 #dcvsmi #MIvsDC 
 #IPL #Cricket #stadium #DelhiCapitals #mumbaiindians #royalchallengers #PunjabKings https://t.co/jpjpJdPSmb",['IPL'],Twitter for Android,False
KUWAIT TIMES,Kuwait,The First English Daily in the Arabian Gulf | Since 1961 | For Arabic News @kuwaitnews,2011-11-08 19:01:40+00:00,47285,2,246,True,2023-04-11 15:40:11+00:00,#Lucknow Super Giants edge out #RoyalChallengers Bangalore https://t.co/nq1qVeXjbK,"['Lucknow', 'RoyalChallengers']",Hootsuite Inc.,False
Fun Adda,,"All about New games, technology & Entertainment ğŸ•ºğŸ¦¹â€â™‚ï¸ğŸŠ",2023-02-13 09:13:47+00:00,9,7,3,False,2023-04-11 12:40:06+00:00,"I dont Care.....ğŸ˜ğŸ˜
#Trending #trendingreels #funny #comedy #comedyreels #games #oppa888  #exams #trending #ipl2023 #RCB #royalchallengers #banglore #hyderabad #instagood #Memes #telugureels #telugumemes #telugutrolls #telugucomedy #funny #Tollywood #Bollywood https://t.co/qdnZL6xFCN","['Trending', 'trendingreels', 'funny', 'comedy', 'comedyreels', 'games', 'oppa888', 'exams', 'trending', 'ipl2023']",Buffer,False
@Sarcatism,,"MemerğŸ¤£ğŸ¤£
Funny TrollsğŸ˜…ğŸ¤£
Crcket  updatesğŸ˜ğŸ˜",2023-03-24 16:56:04+00:00,2,15,0,False,2023-04-11 12:02:09+00:00,"I dont Care.....ğŸ˜ğŸ˜
#Trending #trendingreels #funny #comedy #comedyreels #games #oppa888  #exams #trending #ipl2023 #RCB #royalchallengers #banglore #hyderabad #instagood #Memes #telugureels #telugumemes #telugutrolls #telugucomedy #funny #Tollywood #Bollywood https://t.co/hWJpxyEPzb","['Trending', 'trendingreels', 'funny', 'comedy', 'comedyreels', 'games', 'oppa888', 'exams', 'trending', 'ipl2023']",Buffer,False
FunnyKakaa,,"Entertainer ğŸ˜ğŸ˜
Memer ğŸ¤‘ğŸ’¸ğŸ“–",2023-02-15 12:21:16+00:00,5,9,2,False,2023-04-11 11:30:45+00:00,"I dont Care.....ğŸ˜ğŸ˜
#Trending #trendingreels #funny #comedy #comedyreels #games #oppa888  #exams #trending #ipl2023 #RCB #royalchallengers #banglore #hyderabad #instagood #Memes #telugureels #telugumemes #telugutrolls #telugucomedy #funny #Tollywood #Bollywood https://t.co/bBcsdFJhGE","['Trending', 'trendingreels', 'funny', 'comedy', 'comedyreels', 'games', 'oppa888', 'exams', 'trending', 'ipl2023']",Buffer,False
